127.0.0.1 - - [04/Nov/2022:15:32:21 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:32:26 +0900] "GET /login/index.jsp HTTP/1.1" 200 24179
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:32:26 +0900] "GET /js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:32:26 +0900] "GET /js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:32:26 +0900] "GET /js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:32:26 +0900] "GET /js/roberto.bundle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:32:26 +0900] "GET /js/default-assets/active.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:32:26 +0900] "GET /image/R0000001OYLY_KR.jpg HTTP/1.1" 200 1179970
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:32:26 +0900] "GET /image/R0000001ONZJ_KR.jpg HTTP/1.1" 200 1199695
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:32:26 +0900] "GET /image/R0000001PC6L_KR.jpg HTTP/1.1" 200 1175397
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:32:27 +0900] "GET /login/undefined HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:32:33 +0900] "GET /join/join.jsp HTTP/1.1" 200 11757
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:32:35 +0900] "GET /login/login.jsp HTTP/1.1" 200 11506
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:32:35 +0900] "GET /login/img/bg-img/16.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:33:38 +0900] "GET /login/index.jsp HTTP/1.1" 200 24179
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:33:39 +0900] "GET /login/undefined HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:33:43 +0900] "GET /login/login.jsp HTTP/1.1" 200 11506
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:33:43 +0900] "GET /login/img/bg-img/16.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:33:58 +0900] "POST /login/login.jsp HTTP/1.1" 200 11506
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:33:58 +0900] "GET /login/img/bg-img/16.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:38:34 +0900] "GET /join/join.jsp HTTP/1.1" 200 11757
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:38:34 +0900] "GET /js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:38:34 +0900] "GET /js/roberto.bundle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:38:34 +0900] "GET /js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:38:34 +0900] "GET /js/default-assets/active.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:38:34 +0900] "GET /js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:42:35 +0900] "GET /login/login.jsp HTTP/1.1" 200 11506
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:42:36 +0900] "GET /login/img/bg-img/16.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:42:41 +0900] "GET /login/login.jsp HTTP/1.1" 200 11506
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:42:42 +0900] "GET /login/img/bg-img/16.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:38:22 +0900] "GET /reservation/reservation.jsp HTTP/1.1" 200 22769
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:38:22 +0900] "GET /style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:38:22 +0900] "GET /js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:38:22 +0900] "GET /js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:38:22 +0900] "GET /js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:38:22 +0900] "GET /js/roberto.bundle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:38:22 +0900] "GET /js/default-assets/active.js HTTP/1.1" 304 -
